timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2015-09-01 11:30:00,13.56,0.022310929229533646,0,-0.11,-0.22,-0.11
2015-09-01 11:35:00,8.33,0.97891566922593,0,-0.11,-0.22,-0.11
2015-09-01 11:40:00,11.78,0.7953319799634945,0,-0.11,-0.22,-0.11
2015-09-01 11:55:00,15.28,0.7793856107749007,0,-0.11,-0.22,-0.11
2015-09-01 12:00:00,10.06,0.9656381717103196,0,-0.11,-0.22,-0.11
2015-09-01 12:05:00,7.44,0.969281011076216,0,-0.11,-0.22,-0.11
2015-09-01 12:10:00,8.11,0.9604187514117258,0,-0.11,-0.22,-0.11
2015-09-01 12:15:00,10.72,0.948717356517934,0,-0.11,-0.22,-0.11
2015-09-01 12:20:00,11.83,0.7727291937588056,0,-0.11,-0.22,-0.11
2015-09-01 12:25:00,9.61,0.9499349759534724,0,-0.11,-0.22,-0.11
2015-09-01 12:30:00,10.22,0.9365526288439424,0,-0.11,-0.22,-0.11
2015-09-01 12:35:00,10.72,0.92210076541834,0,-0.11,-0.22,-0.11
2015-09-01 12:45:00,10.28,0.9188131231616912,0,-0.11,-0.22,-0.11
2015-09-01 12:50:00,13.72,0.13754049390214287,0,-0.11,-0.22,-0.11
2015-09-01 12:55:00,7.39,0.9527883893192656,0,-0.11,-0.22,-0.11
2015-09-01 13:05:00,2.61,0.9760348689508264,0,-0.11,-0.22,-0.11
2015-09-01 13:10:00,7.33,0.9442314465881316,0,-0.11,-0.22,-0.11
2015-09-01 13:15:00,8.5,0.9347296360668907,0,-0.11,-0.22,-0.11
2015-09-01 13:20:00,10.56,0.9092382886914668,0,-0.11,-0.22,-0.11
2015-09-01 13:25:00,13.78,0.18716408232165685,0,-0.11,-0.22,-0.11
2015-09-01 13:35:00,7.78,0.9269755998650372,0,-0.11,-0.22,-0.11
2015-09-01 13:45:00,7.72,0.9182377500824436,0,-0.11,-0.22,-0.11
2015-09-01 13:50:00,10.11,0.9046765239890808,0,-0.11,-0.22,-0.11
2015-09-01 14:00:00,9.56,0.9031162751776683,0,-0.11,-0.22,-0.11
2015-09-01 14:05:00,14.94,0.6806294739332338,0,-0.11,-0.22,-0.11
2015-09-01 14:10:00,25.89,0.9689090669311474,0,-0.11,-0.22,-0.11
2015-09-01 14:15:00,10.17,0.8899597022518554,0,-0.11,-0.22,-0.11
2015-09-01 14:30:00,6.39,0.9437519284331892,0,-0.11,-0.22,-0.11
2015-09-01 14:35:00,12.89,0.3693927608478183,0,-0.11,-0.22,-0.11
2015-09-01 14:40:00,9.06,0.9002259496322749,0,-0.11,-0.22,-0.11
2015-09-01 14:50:00,11.67,0.8157876648011448,0,-0.11,-0.22,-0.11
2015-09-01 14:55:00,7.94,0.9025771288850528,0,-0.11,-0.22,-0.11
2015-09-01 15:00:00,8.17,0.8923647438379345,0,-0.11,-0.22,-0.11
2015-09-01 15:05:00,24.72,0.972927985705384,0,-0.11,-0.22,-0.11
2015-09-01 15:10:00,9.06,0.8830598277538788,0,-0.11,-0.22,-0.11
2015-09-01 15:25:00,14.89,0.6828958024271945,0,-0.11,-0.22,-0.11
2015-09-01 15:30:00,8.28,0.8790574749304755,0,-0.11,-0.22,-0.11
2015-09-01 15:35:00,7.83,0.8770461528639596,0,-0.11,-0.22,-0.11
2015-09-01 15:40:00,12.28,0.6477381826467473,0,-0.11,-0.22,-0.11
2015-09-01 15:45:00,14.94,0.7033139859295837,0,-0.11,-0.22,-0.11
2015-09-01 15:55:00,14.39,0.4825302337130184,0,-0.11,-0.22,-0.11
2015-09-01 16:00:00,7.5,0.8811645211752331,0,-0.11,-0.22,-0.11
2015-09-01 16:05:00,11.5,0.8429400778701259,0,-0.11,-0.22,-0.11
2015-09-01 16:10:00,10.0,0.8734553967163068,0,-0.11,-0.22,-0.11
2015-09-01 16:15:00,8.83,0.8619610840135302,0,-0.11,-0.22,-0.11
2015-09-01 16:20:00,11.33,0.8513799438736636,0,-0.11,-0.22,-0.11
2015-09-01 16:25:00,11.17,0.8533326149744134,0,-0.11,-0.22,-0.11
2015-09-01 16:30:00,9.83,0.8550081518085993,0,-0.11,-0.22,-0.11
2015-09-01 16:40:00,7.67,0.8671317624436614,0,-0.11,-0.22,-0.11
2015-09-01 16:45:00,14.89,0.6962148355652731,0,-0.11,-0.22,-0.11
2015-09-01 16:55:00,7.28,0.8762913815593953,0,-0.11,-0.22,-0.11
2015-09-01 17:05:00,11.83,0.7735873227346893,0,-0.11,-0.22,-0.11
2015-09-01 17:10:00,13.72,0.3615832876834895,0,-0.11,-0.22,-0.11
2015-09-01 17:15:00,21.33,0.976633796007352,0,-0.11,-0.22,-0.11
2015-09-01 17:20:00,21.61,0.9687360224110596,0,-0.11,-0.22,-0.11
2015-09-01 17:25:00,14.61,0.6036113543814647,0,-0.11,-0.22,-0.11
2015-09-01 17:35:00,15.28,0.8048698056860778,0,-0.11,-0.22,-0.11
2015-09-01 17:40:00,10.33,0.8557885833930914,0,-0.11,-0.22,-0.11
2015-09-01 17:45:00,7.61,0.8623278521557046,0,-0.11,-0.22,-0.11
2015-09-01 17:50:00,8.89,0.8489971924270766,0,-0.11,-0.22,-0.11
2015-09-01 17:55:00,10.72,0.8489303992034548,0,-0.11,-0.22,-0.11
2015-09-01 17:59:00,9.06,0.8405595450062187,0,-0.11,-0.22,-0.11
2015-09-01 18:10:00,14.0,0.44198958606472055,0,-0.11,-0.22,-0.11
2015-09-01 18:15:00,14.56,0.5923972571773629,0,-0.11,-0.22,-0.11
2015-09-01 18:20:00,8.06,0.8396931549568376,0,-0.11,-0.22,-0.11
2015-09-01 18:25:00,4.89,0.9677606633905128,0,-0.11,-0.22,-0.11
2015-09-01 18:30:00,7.72,0.8419229947851943,0,-0.11,-0.22,-0.11
2015-09-01 18:35:00,9.11,0.8302414478883716,0,-0.11,-0.22,-0.11
2015-09-01 18:45:00,6.89,0.8807767939829556,0,-0.11,-0.22,-0.11
2015-09-01 18:50:00,9.11,0.8228877179410881,0,-0.11,-0.22,-0.11
2015-09-01 19:20:00,8.33,0.8105508887127496,0,-0.11,-0.22,-0.11
2015-09-01 19:25:00,5.33,0.9499693023162844,0,-0.11,-0.22,-0.11
2015-09-01 19:35:00,6.11,0.9147347841078396,0,-0.11,-0.22,-0.11
